tax	taxprio	taxprio_orig	taxo_id	patrimonial	invasif	Ordre	Family
Eriophyes brevitarsus phyllereus	Acalitus brevitarsus	Acalitus brevitarsus	32828	0	0	Acariens	Eriophyidae
Phytomyza cirsii	Phytomyza cirsii	Phytomyza cirsii	102576	0	0	Diptères	Agromyzidae
Urophora cardui	Urophora cardui	Urophora cardui	33801	0	0	Diptères	Tephritidae
Nemotelus pantherinus	Nemotelus pantherinus	Nemotelus pantherinus	101939	0	0	Diptères	Stratiomyidae
Microdon sp.	Microdon 	Microdon sp.	2290	0	0	Diptères	Syrphidae
Stratiomys potamida	Stratiomys potamida	Stratiomys potamida	103332	0	0	Diptères	Stratiomyidae
Coccinelle éclatante	Coccinella magnifica	Coccinella magnifica	12821	0	0	Coccinelles	Coccinellinae
Emus hirtus	Emus hirtus	Emus hirtus	100708	0	0	Coléoptères	Staphylinidae
Typhaeus typhoeus	Typhaeus typhoeus	Typhaeus typhoeus	34787	1	0	Coléoptères	Geotrupidae
Thanatophilus rugosus	Thanatophilus rugosus	Thanatophilus rugosus	103481	0	0	Coléoptères	Silphidae
Bruant proyer	Miliaria calandra	Miliaria calandra	6981	1	0	Oiseaux	Emberizidae
Dasineura fraxinii	Dasineura fraxinii	Dasineura fraxinii	100413	0	0	Diptères	Cecidomyiidae
Aculus tetanothrix	Aculus tetanothrix	Aculus tetanothrix	32975	0	0	Araignées	Eriophyidae
Rabdophaga sp.	Rabdophaga 	Rabdophaga sp.	33644	0	0	Diptères	Cecidomyiidae
Carabe doré	Carabus auratus	Carabus auratus	27638	0	0	Coléoptères	Carabidae
Thereva oculata	Thereva oculata	Thereva oculata	103494	0	0	Diptères	Therevidae
Melanocoryphus albomaculatus	Melanocoryphus albomaculatus	Melanocoryphus albomaculatus	9645	0	0	Hétéroptères	Lygaeidae
Clitellaria ephippium	Clitellaria ephippium	Clitellaria ephippium	100125	0	0	Diptères	Stratiomyidae
Anthidiellum strigatum	Anthidiellum strigatum	Anthidiellum strigatum	11440	0	0	Hyménoptères	Megachilidae
Leptopus marmoratus	Leptopus marmoratus	Leptopus marmoratus	9654	0	0	Hétéroptères	Leptopodidae
Sciocoris homalonotus	Sciocoris homalonotus	Sciocoris homalonotus	9910	0	0	Hétéroptères	Pentatomidae
Rhyzobius sp.	Rhyzobius 	Rhyzobius sp.	3298	0	0	Coccinelles	Coccidulinae
Neotypus melanocephalus	Neotypus melanocephalus	Neotypus melanocephalus	101969	0	0	Hyménoptères	Ichneumonidae
Chalcis sispes	Chalcis sispes	Chalcis sispes	99972	0	0	Hyménoptères	Chalcididae
Hoplomachus thunbergii	Hoplomachus thunbergii	Hoplomachus thunbergii	9350	0	0	Hétéroptères	Miridae
Chalcis biguttata	Chalcis biguttata	Chalcis biguttata	99971	0	0	Hyménoptères	Chalcididae
Oplodontha viridula	Oplodontha viridula	Oplodontha viridula	102119	0	0	Diptères	Stratiomyidae
Sialis fuliginosa	Sialis fuliginosa	Sialis fuliginosa	8968	0	0	Mégaloptères	Sialidae
Onthophagus sp.	Onthophagus 	Onthophagus sp.	102099	0	0	Coléoptères	Scarabaeidae
Acrocephalus schoenobaenus	Acrocephalus schoenobaenus	Acrocephalus schoenobaenus	6382	1	0	Oiseaux	Sylviidae
Larus ridibundus	Larus ridibundus	Larus ridibundus	6929	1	0	Oiseaux	Laridae
Bubulcus ibis	Bubulcus ibis	Bubulcus ibis	6527	1	0	Oiseaux	Ardeidae
Anas strepera	Anas strepera	Anas strepera	6443	0	0	Oiseaux	Anatidae
Anas penelope	Anas penelope	Anas penelope	6437	1	0	Oiseaux	Anatidae
Psylla alni	Psylla alni	Psylla alni	15449	0	0	Homoptères	Psyllidae
Goéland leucophée	Larus michahellis	Larus michahellis	6925	0	0	Oiseaux	Laridae
Goéland pontique	Larus cachinnans	Larus cachinnans	6911	0	0	Oiseaux	Laridae
Phragmite des joncs	Acrocephalus schoenobaenus	Acrocephalus schoenobaenus	6382	1	0	Oiseaux	Sylviidae
Mouette pygmée	Larus minutus	Larus minutus	6926	0	0	Oiseaux	Laridae
Guifette noire	Chlidonias niger	Chlidonias niger	6629	1	0	Oiseaux	Sternidae
Ardea purpurea	Ardea purpurea	Ardea purpurea	6492	0	0	Oiseaux	Ardeidae
Remiz pendulinus	Remiz pendulinus	Remiz pendulinus	7245	1	0	Oiseaux	Remizidae
Cygne de Bewick	Cygnus columbianus	Cygnus columbianus	7443	0	0	Oiseaux	Anatidae
Huîtrier pie	Haematopus ostralegus	Haematopus ostralegus	6850	1	0	Oiseaux	Haematopodidae
Rousserolle turdoïde	Acrocephalus arundinaceus	Acrocephalus arundinaceus	6374	1	0	Oiseaux	Sylviidae
Chilacis typhae	Chilacis typhae	Chilacis typhae	9589	0	0	Hétéroptères	Lygaeidae
Corbicula sp.	Corbicula 	Corbicula sp.	3363	0	1	Mollusques bivalves	Corbiculidae
Macreuse noire	Melanitta nigra	Melanitta nigra	6964	0	0	Oiseaux	Anatidae
Aceria laticincta	Aceria laticincta	Aceria laticincta	32883	0	0	Acariens	Eriophyidae
Otites formosa	Otites formosa	Otites formosa	102182	0	0	Diptères	Ulidiidae
Corbicula fluminea	Corbicula fluminea	Corbicula fluminea	12973	0	1	Mollusques bivalves	Corbiculidae
Râle d''eau	Rallus aquaticus	Rallus aquaticus	7237	1	0	Oiseaux	Rallidae
Panure à moustaches	Panurus biarmicus	Panurus biarmicus	7078	1	0	Oiseaux	Timaliidae
Cryptocephalus octopunctatus	Cryptocephalus octopunctatus	Cryptocephalus octopunctatus	35122	0	0	Coléoptères	Chrysomelidae
Corbicule asiatique	Corbicula fluminea	Corbicula fluminea	12973	0	1	Mollusques bivalves	Corbiculidae
Parornix devoniella	Parornix devoniella	Parornix devoniella	102322	0	0	Hétérocères	Gracillariidae
Deltote uncula	Lithacodia uncula	Lithacodia uncula	8149	0	0	Hétérocères	Noctuidae
Gymnomerus laevipes	Gymnomerus laevipes	Gymnomerus laevipes	10879	0	0	Hyménoptères	Vespidae
Eristalis picea	Eristalis picea	Eristalis picea	10310	0	0	Diptères	Syrphidae
Spilostethus saxatilis	Spilostethus saxatilis	Spilostethus saxatilis	9606	0	0	Hétéroptères	Lygaeidae
Erophyes similis	Eriophyes similis	Eriophyes similis	33063	0	0	Acariens	Eriophyidae
Adelphocoris quadripunctatus	Adelphocoris quadripunctatus	Adelphocoris quadripunctatus	9360	0	0	Hétéroptères	Miridae
Lygaeus saxatilis	Spilostethus saxatilis	Spilostethus saxatilis	9606	0	0	Hétéroptères	Lygaeidae
Otiorhynchus ligustici	Otiorhynchus ligustici	Otiorhynchus ligustici	102170	0	0	Coléoptères	Curculionidae
Goujon	Gobio gobio	Gobio gobio	8424	0	0	Poissons	Cyprinidae
Pyrgus armoricanus	Pyrgus armoricanus	Pyrgus armoricanus	10164	1	0	Papillons	Hesperiidae
Aphis viburni	Aphis viburni	Aphis viburni	33984	0	0	Homoptères	Aphididae
Ditiscus marginalis	Ditiscus marginalis	Ditiscus marginalis	100544	0	0	Coléoptères	Ditiscidae
Sphegina sp.	Sphegina 	Sphegina sp.	2311	0	0	Diptères	Syrphidae
Sericomyia lappona	Sericomyia lappona	Sericomyia lappona	10380	0	0	Diptères	Syrphidae
Podabrus alpinus	Podabrus alpinus	Podabrus alpinus	102691	0	0	Coléoptères	Cantharidae
Cantharis livida rufipes	Cantharis livida rufipes	Cantharis livida rufipes	99862	0	0	Coléoptères	Cantharidae
Cantharis pellucida	Cantharis pellucida	Cantharis pellucida	99868	0	0	Coléoptères	Cantharidae
Cantharis nigricans	Cantharis nigricans	Cantharis nigricans	99864	0	0	Coléoptères	Cantharidae
Cantharis paradoxa	Cantharis paradoxa	Cantharis paradoxa	99867	0	0	Coléoptères	Cantharidae
Cantharis sudetica	Cantharis sudetica	Cantharis sudetica	99872	0	0	Coléoptères	Cantharidae
Cantharis figurata	Cantharis figurata	Cantharis figurata	99856	0	0	Coléoptères	Cantharidae
Cantharis pallida	Cantharis pallida	Cantharis pallida	99866	0	0	Coléoptères	Cantharidae
Cantharis cryptica	Cantharis cryptica	Cantharis cryptica	99854	0	0	Coléoptères	Cantharidae
Lézard agile	Lacerta agilis	Lacerta agilis	15485	1	0	Reptiles	LACERTIDAE
Aphthona sp.	Aphthona 	Aphthona sp.	35882	0	0	Coléoptères	Chrysomelidae
Eristalis horticola	Eristalis lineata	Eristalis lineata	10308	0	0	Diptères	Syrphidae
Eristalis abusivus	Eristalis abusiva	Eristalis abusiva	10301	0	0	Diptères	Syrphidae
Cantharis nigra	Cantharis nigra	Cantharis nigra	99863	0	0	Coléoptères	Cantharidae
Psammotettix sp.	Psammotettix 	Psammotettix sp.	102792	0	0	Homoptères	Cicadellidae
Jassargus sp.	Jassargus 	Jassargus sp.	101334	0	0	Homoptères	Cicadellidae
Sphecodes puncticeps	Sphecodes puncticeps	Sphecodes puncticeps	11351	0	0	Hyménoptères	Halictidae
Sphecodes reticulatus	Sphecodes reticulatus	Sphecodes reticulatus	11352	0	0	Hyménoptères	Halictidae
Cicadula saturata	Cicadula saturata	Cicadula saturata	100073	0	0	Homoptères	Cicadellidae
Lepyronia coleoptrata	Lepyronia coleoptrata	Lepyronia coleoptrata	101482	0	0	Homoptères	Aphrophoridae
Stenocranus fuscovittatus	Stenocranus fuscovittatus	Stenocranus fuscovittatus	103207	0	0	Homoptères	Delphacidae
Conomelus sp.	Conomelus 	Conomelus sp.	100241	0	0	Homoptères	DElphacidae
Edwardsiana sociabilis	Edwardsiana sociabilis	Edwardsiana sociabilis	100654	0	0	Homoptères	Cicadellidae
Athysanus argentarius	Athysanus argentarius	Athysanus argentarius	99613	0	0	Homoptères	Cicadellidae
Forcipata citrinella	Forcipata citrinella	Forcipata citrinella	100940	0	0	Homoptères	Cicadellidae
Notus flavipennis	Notus flavipennis	Notus flavipennis	102014	0	0	Homoptères	Cicadellidae
Javesella spumarius	Javesella spumarius	Javesella spumarius	101345	0	0	Homoptères	Delphacidae
Bombylius discolor	Bombylius discolor	Bombylius discolor	99727	0	0	Diptères	Bombyliidae
Sphaeridium scarabaeoides	Sphaeridium scarabaeoides	Sphaeridium scarabaeoides	103172	0	0	Coléoptères	Hydrophilidae
Helophorus sp.	Helophorus 	Helophorus sp.	2221	0	0	Coléoptères	Hydrophilidae
Badister sp.	Badister 	Badister sp.	30401	0	0	Coléoptères	Carabidae
Lissotriton vulgaris	Triturus vulgaris	Triturus vulgaris	7470	1	0	Amphibiens	Salamandridae
Lissotriton helveticus	Triturus helveticus	Triturus helveticus	7469	1	0	Amphibiens	Salamandridae
